FlowPath,JourneyStatus,ExecutionStatus,AuditResult,RegisterGapId
.maestro/cert/ios/business/b00_company.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/business/b01_team_operations.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/business/b02_business_runway.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/business/b03_business_operations.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/config.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g01_trip.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g02_wedding.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g03_house_party.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g04_office_outing.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g05_gift_pool.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g06_group_purchase.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g07_shared_asset.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g08_community_purchase.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g09_flatmates.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g10_family_household.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g11_co_living.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/group/g12_community_living.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/isolation/q4_isolation.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/personal/p1_life_operations.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/personal/p2_future_building.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/personal/p3_lifestyle.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/personal/p4_relationships.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
.maestro/cert/ios/reliability/q5_reliability.yaml,IMPLEMENTED,NOT_EXECUTED,TEST_GAP,SP-014
